accession	taxid	organism	
GU131080.1	40302	Nosema ceranae	
GU131079.1	40302	Nosema ceranae	
GU131078.1	40302	Nosema ceranae	
GU131077.1	40302	Nosema ceranae	
GU131076.1	40302	Nosema ceranae	
GU131075.1	40302	Nosema ceranae	
GU131074.1	40302	Nosema ceranae	
GU131073.1	40302	Nosema ceranae	
GU131072.1	40302	Nosema ceranae	
GU131071.1	40302	Nosema ceranae	
GU131070.1	40302	Nosema ceranae	
GU131069.1	40302	Nosema ceranae	
GU131068.1	40302	Nosema ceranae	
GU131067.1	40302	Nosema ceranae	
GU131066.1	40302	Nosema ceranae	
GU131065.1	40302	Nosema ceranae	
GU131064.1	40302	Nosema ceranae	
GU131063.1	40302	Nosema ceranae	
GU131062.1	40302	Nosema ceranae	
GU131061.1	40302	Nosema ceranae	
GU131060.1	40302	Nosema ceranae	
GU131059.1	40302	Nosema ceranae	
GU131058.1	40302	Nosema ceranae	
GU131057.1	40302	Nosema ceranae	
GU131056.1	40302	Nosema ceranae	
GU131055.1	40302	Nosema ceranae	
GU131054.1	40302	Nosema ceranae	
GU131053.1	40302	Nosema ceranae	
GU131052.1	40302	Nosema ceranae	
GU131051.1	40302	Nosema ceranae	
GU131050.1	40302	Nosema ceranae	
GU131049.1	40302	Nosema ceranae	
GU131048.1	40302	Nosema ceranae	
GU131047.1	40302	Nosema ceranae	
GU131046.1	40302	Nosema ceranae	
GU131045.1	40302	Nosema ceranae	
GU131044.1	40302	Nosema ceranae	
GU131043.1	40302	Nosema ceranae	
JF826421.1	1129594	Parathelohania tomski	
JF826420.1	1129593	Parathelohania divulgata	
JF826419.1	1129576	Novothelohania ovalae	
JF826418.1	1129592	Amblyospora timirasia	
JF826417.1	1129590	Amblyospora severinia	
JF826416.1	1129591	Amblyospora shegaria	
JF826415.1	1129589	Amblyospora salairia	
JF826414.1	908467	Amblyospora rugosa	
JF826413.1	1129588	Amblyospora modestium	
JF826412.1	1129587	Amblyospora mocrushinia	
JF826411.1	1129586	Amblyospora mavlukevia	
JF826410.1	1129585	Amblyospora kolarovi	
JF826409.1	1129584	Amblyospora kazankia	
JF826408.1	1129583	Amblyospora jurginia	
JF826407.1	1129582	Amblyospora hristinia	
JF826406.1	1129581	Amblyospora flavescens	
JF826405.1	1129580	Amblyospora chulymia	
JF826404.1	1129579	Amblyospora bogashovia	
JF826402.1	1129577	Amblyospora bakcharia	
JN688870.1	1101198	Endoreticulatus sp. Shengzhou	
GU173849.1	694063	Kneallhazia carolinensae	
AB569605.1	859625	Nosema sp. VSl-2007-16	
AB569604.1	859624	Nosema sp. VSl-2007-15	
AB569603.1	859623	Nosema sp. VSl-2007-14	
AB569602.1	859622	Nosema sp. VSl-2007-13	
AB569601.1	859621	Nosema sp. VSl-2007-12	
AB569600.1	859620	Nosema sp. VSl-2007-11	
AB569599.1	859619	Nosema sp. VSl-2007-10	
AB569598.1	859618	Nosema sp. VSl-2007-9	
AB569597.1	859617	Nosema sp. VSl-2007-8	
AB569596.1	859616	Nosema sp. VSl-2007-7	
AB569595.1	859615	Nosema sp. VSl-2007-6	
AB569594.1	859614	Nosema sp. VSl-2007-5	
AB569593.1	859613	Nosema sp. VSl-2007-4	
AB569592.1	859612	Nosema sp. VSl-2007-3	
AB569591.1	859611	Nosema sp. VSl-2007-2	
AB569590.1	859610	Nosema sp. VSl-2007-1	
GU196258.1	888024	Dictyocoela sp. GF	
GU196257.1	888026	Dictyocoela sp. GL2	
GU196256.1	888025	Dictyocoela sp. GL	
GQ379704.1	663571	Cystosporogenes sp. GKK-2009	
GQ379703.1	663571	Cystosporogenes sp. GKK-2009	
GU124636.1	909463	Microsporidium sp. PBT	
HM216911.1	723287	Anncaliia algerae	
HM002483.1	759752	Nosema oryzaephili	
GU126383.1	745834	Anisofilariata chironomi	
FJ914315.1	671097	Mrazekia macrocyclopis	
GQ244502.1	661385	Nosema sp. Hyblaea puera 1	
FJ865224.1	639191	Microsporidium sp. 4-YYS-2009d	
FJ865221.1	639188	Microsporidium sp. 1-YYS-2009a	
FJ040740.1	198216	uncultured Nosema	
EU664450.1	549444	Andreanna caspii	
EU260046.1	498393	Endoreticulatus sp. CHW-2008 Austria	
DQ675604.1	393904	Euplotespora binucleata	
FJ005051.1	586133	Nematocida parisii	
AF067144.1	88455	Encephalitozoon lacertae	
AF024658.1	307626	Tubulinosema acridophagus	
AF024657.1	31281	Enterocytozoon bieneusi	
AF024656.1	67680	Visvesvaria algerae	
AF024655.1	67678	Antonospora scoticae	
AF033197.1	51541	Spraguea lophii	
HM594269.1	908469	Trichotosporea pygopellita	
HM594268.1	908469	Trichotosporea pygopellita	
HM594267.1	908469	Trichotosporea pygopellita	
HM594266.1	908467	Amblyospora rugosa	
HM594265.1	908467	Amblyospora rugosa	
HM594264.1	908467	Amblyospora rugosa	
HM626220.1	902689	Loma sp. SVB-PE3	
HM626218.1	902689	Loma sp. SVB-PE3	
HM626205.1	54566	Loma salmonae	
HM626221.1	902689	Loma sp. SVB-PE3	
HM626217.1	902689	Loma sp. SVB-PE3	
HM626214.1	54566	Loma salmonae	
HM626213.1	54566	Loma salmonae	
HM626209.1	54566	Loma salmonae	
HM626207.1	54566	Loma salmonae	
HM626204.1	54566	Loma salmonae	
HM626203.1	54566	Loma salmonae	
HM991451.1	876644	Dictyocoela sp. GPM1	
FN434092.1	666004	Microsporidium sp. 1049	
FN434091.1	189833	Dictyocoela duebenum	
FN434090.1	279532	Dictyocoela muelleri	
FN434088.1	83296	Nosema granulosis	
FN434086.1	666002	Microsporidium sp. 515	
FN434084.1	249366	Pleistophora mulleri	
AF134205.1	694064	Kneallhazia solenopsae	
AY963290.1	723287	Anncaliia algerae	
AY963289.1	723287	Anncaliia algerae	
AY230191.1	723287	Anncaliia algerae	
AF394528.1	174678	Microsporidium sp. DP-1-19	
AY013359.1	145415	Intrapredatorus barri	
AF118143.1	27973	Encephalitozoon hellem	
AF118142.1	27973	Encephalitozoon hellem	
AF104087.1	88069	Bacillidium sp.	
AF104086.1	51541	Spraguea lophii	
AF104085.1	157916	Ovipleistophora mirandellae	
AF104081.1	88107	Loma sp.	
FJ389667.1	723276	Paranucleospora theridion	
FJ594990.1	723276	Paranucleospora theridion	
FJ594987.1	723276	Paranucleospora theridion	
FJ594986.1	723276	Paranucleospora theridion	
FJ594985.1	723276	Paranucleospora theridion	
FJ594984.1	723276	Paranucleospora theridion	
FJ594982.1	723276	Paranucleospora theridion	
FJ594981.1	723276	Paranucleospora theridion	
FJ594980.1	723276	Paranucleospora theridion	
FJ594979.1	723276	Paranucleospora theridion	
FJ594978.1	723276	Paranucleospora theridion	
FJ594977.1	723276	Paranucleospora theridion	
FJ594976.1	723276	Paranucleospora theridion	
FJ594972.1	723276	Paranucleospora theridion	
FJ594970.1	723276	Paranucleospora theridion	
FJ594969.1	723276	Paranucleospora theridion	
AF364303.1	158179	Tetramicra brevifilum	
EU864531.1	550797	Nosema sp. PR	
EU864528.1	550790	Nosema sp. PA	
EU864527.1	550799	Nosema sp. HA	
EU864526.1	332525	Nosema antheraeae	
EU864525.1	27978	Nosema bombycis	
EU219086.1	481677	Nosema thomsoni	
EU219085.1	481673	Nosema disstriae	
EU219084.1	481675	Nosema sp. CO	
EU219083.1	481674	Nosema fumiferanae	
EU219082.1	481676	Nosema sp. CPP	
DQ919080.1	405222	Nosema sp. SCH.F4	
DQ919079.1	405221	Nosema sp. SCH.F3	
DQ919078.1	405220	Nosema sp. SCH.F2	
DQ919077.1	405219	Nosema sp. SCH.F1	
DQ919076.1	405218	Nosema sp. SCH.P	
DQ919075.1	405217	Nosema sp. CFD.F4	
DQ919074.1	405216	Nosema sp. CFD.F3	
DQ919073.1	405215	Nosema sp. CFD.F2	
DQ919072.1	405214	Nosema sp. CFD.F1	
DQ919071.1	405213	Nosema sp. CFD.P	
DQ919070.1	27978	Nosema bombycis	
DQ919069.1	27978	Nosema bombycis	
AY090070.1	103452	Janacekia debaisieuxi	
AY090069.1	103456	Polydispyrenia simulii	
AY090068.1	191599	Amblyospora bracteata	
AY090067.1	191605	Hazardia milleri	
AY090066.1	191606	Hazardia sp.	
AY090065.1	191598	Parathelohania obesa	
AY090062.1	191597	Amblyospora ferocious	
AY090061.1	191596	Amblyospora criniferis	
AY090060.1	191595	Amblyospora cinerei	
AY090059.1	191595	Amblyospora cinerei	
AY090058.1	191595	Amblyospora cinerei	
AY090057.1	191595	Amblyospora cinerei	
AY090056.1	191594	Amblyospora canadensis	
AY090055.1	33688	Amblyospora sp.	
AY090053.1	33688	Amblyospora sp.	
AY090052.1	191593	Amblyospora opacita	
AY090051.1	191592	Amblyospora indicola	
AY090050.1	70528	Amblyospora stimuli	
AY090049.1	191591	Amblyospora stictici	
AY090048.1	191590	Amblyospora weiseri	
AY090047.1	191589	Amblyospora khaliulini	
AY090046.1	191589	Amblyospora khaliulini	
AY090045.1	191589	Amblyospora khaliulini	
AY090044.1	191588	Amblyospora excrucii	
AY090043.1	191588	Amblyospora excrucii	
AY090042.1	191602	Berwaldia schaefernai	
AY090041.1	257491	Marssoniella elegans	
AY017213.1	150444	Nosema sp. 4m	
AY017212.1	150443	Nosema sp. 3h	
AY017211.1	150442	Nosema sp. 2r	
AY017210.1	150441	Nosema sp. 1s	
EU682928.1	554318	Kabatana sp. JI-2008	
FJ843104.1	679728	Loma psittaca	
GQ337011.1	662766	Nosema sp. GKK-2009	
EU502839.1	527194	Encephalitozoon sp. MB-2008	
EU502838.1	527194	Encephalitozoon sp. MB-2008	
L39114.1	33700	Vairimorpha sp.	
L39110.1	42181	Ichthyosporidium sp.	
U26532.1	40301	Nosema furnacalis	
AF069063.1	723287	Anncaliia algerae	
DQ235446.1	35231	Nosema apis	
AY695845.1	291195	Tubulinosema ratisbonensis	
AF141130.1	94621	Nosema sp. KU-9	
AF141129.1	27968	Vairimorpha lymantriae	
AB125666.1	27978	Nosema bombycis	
GQ379702.1	662872	Vairimorpha sp. GKK-2009	
GQ337704.1	662766	Nosema sp. GKK-2009	
GQ337703.1	662766	Nosema sp. GKK-2009	
GQ337707.1	662872	Vairimorpha sp. GKK-2009	
GQ337706.1	662872	Vairimorpha sp. GKK-2009	
GQ337705.1	662872	Vairimorpha sp. GKK-2009	
EU487251.1	511428	Vairimorpha ocinarae	
L39112.1	42399	Vittaforma corneae	
L39113.1	58839	Encephalitozoon intestinalis	
L39111.1	27978	Nosema bombycis	
L39108.1	27973	Encephalitozoon hellem	
L39107.1	6035	Encephalitozoon cuniculi	
L39109.1	42401	Endoreticulatus schubergi	
U09929.1	58839	Encephalitozoon intestinalis	
EU350393.1	27978	Nosema bombycis	
EU350392.1	27978	Nosema bombycis	
EU350391.1	27978	Nosema bombycis	
EU350390.1	27978	Nosema bombycis	
EU350389.1	27978	Nosema bombycis	
FJ481912.1	40302	Nosema ceranae	
AB009977.1	40300	Nosema sp.	
L16866.1	31283	Encephalitozoon sp.	
L16867.1	31283	Encephalitozoon sp.	
EU275200.1	485630	Heterovesicula cowani	
EF585399.1	444136	Nosema sp. CHW-2007a	
EF564602.1	446473	Ovavesicula popilliae	
AY376351.1	278021	Antonospora locustae	
EU123526.1	470312	Nosema sp. BHKP-2007b	
EU123525.1	469820	Nosema sp. BHKP-2007a	
DQ996241.1	6039	Vairimorpha necatrix	
DQ996238.1	417334	Nosema empoascae	
DQ329034.1	40302	Nosema ceranae	
AY465876.1	256132	Spraguea sp. ex Lophius litulon	
DQ403816.1	388544	Trachipleistophora sp. AH2006a	
DQ239917.1	353901	Liebermannia patagonica	
DQ272237.1	357503	Thelohania disparis	
DQ019419.1	33695	Tubulinosema kingi	
DQ486028.1	40302	Nosema ceranae	
AY502945.1	262394	Endoreticulatus sp. CHW-2004 Bulgaria	
AY502944.1	262393	Endoreticulatus sp. CHW-2004 Taiwan	
AY953292.2	319743	Systenostrema alba	
AY894423.1	311454	Anncaliia meligethi	
AY566237.1	284501	Cystosporogenes sp. CRV-2004	
AY211392.1	231490	Nosema spodopterae	
AY713310.1	291811	Nosema sp. NIK-2r	
AY713309.1	291810	Nosema sp. NIK-1s	
AY713307.1	291808	Nosema sp. NIAP-7g	
AY713306.1	291807	Nosema sp. NIAP-6p	
AY589503.1	290653	Nosema sp. ETC-M-4-2-04	
AY973624.1	322689	Caudospora simulii	
AY958071.1	33697	Nosema pyrausta	
AY958070.1	142465	Nadelspora canceri	
AY233131.2	236506	Cystosporogenes legeri	
AY616662.1	27978	Nosema bombycis	
AY311591.1	246557	Nosema sp. C04	
AY311590.1	246556	Nosema sp. C03	
AY311589.1	246555	Nosema sp. C02	
AF327408.1	241643	Vairimorpha cheracis	
AY183664.1	224381	Thelohania montirivulorum	
AF294781.1	203541	Thelohania parastaci	
AY209011.1	27978	Nosema bombycis	
AY311592.1	235546	Vairimorpha sp. C21	
AF338364.1	27973	Encephalitozoon hellem	
AF484695.1	202249	Trichonosema pectinatellae	
AF495379.1	200899	Oligosporidium occidentalis	
AF483838.1	200885	Hyalinocysta chapmani	
AF483837.1	200885	Hyalinocysta chapmani	
AF027685.1	70528	Amblyospora stimuli	
AF027684.1	70536	Edhazardia aedis	
AF027683.1	70534	Culicosporella lunata	
AF027682.1	33690	Parathelohania anophelis	
AF492594.1	164912	Thelohania contejeani	
AF492593.1	164912	Thelohania contejeani	
AY090038.1	191434	Glugea sp.	
AF023245.1	31281	Enterocytozoon bieneusi	
U68474.1	33688	Amblyospora sp.	
U68473.1	51588	Amblyospora californica	
AF338366.1	27973	Encephalitozoon hellem	
AF338365.1	27973	Encephalitozoon hellem	
AY033054.1	159735	Microgemma caulleryi	
AF240355.1	133530	Endoreticulatus sp.	
AF240354.1	40300	Nosema sp.	
AF240353.1	40300	Nosema sp.	
AF240352.1	40300	Nosema sp.	
AF240351.1	40300	Nosema sp.	
AF240350.1	40300	Nosema sp.	
AF240349.1	40300	Nosema sp.	
AF240348.1	40300	Nosema sp.	
AF240347.1	27978	Nosema bombycis	
AF033316.1	72706	Nosema portugal	
AF033315.1	27968	Vairimorpha lymantriae	
AF186007.1	138567	Nucleospora sp. P_vetulus	
AF186003.1	54411	Nucleospora salmonis	
AF186001.1	54411	Nucleospora salmonis	
AF186000.1	54411	Nucleospora salmonis	
AF185999.1	54411	Nucleospora salmonis	
AF185998.1	54411	Nucleospora salmonis	
AF185996.1	54411	Nucleospora salmonis	
AF185995.1	54411	Nucleospora salmonis	
AF185994.1	54411	Nucleospora salmonis	
AF185993.1	54411	Nucleospora salmonis	
AF185992.1	54411	Nucleospora salmonis	
