accession	taxid	organism	
KT762153.1	1798883	Globulispora mitoportans	
AF132544.1	102172	Caudospora palustris	
LC052208.1	1647823	Nosema sp. ICP-2002-3	
LC052207.1	1647822	Nosema sp. ICP-2002-2	
LC052206.1	1647821	Nosema sp. ICP-2002-1	
LC052205.1	1647820	Nosema sp. ISL-2002-3	
LC052204.1	1647819	Nosema sp. ISL-2002-2	
LC052203.1	1647818	Nosema sp. ISL-2002-1	
LC052202.1	1647817	Trachipleistophora sp. OSL-2012-10	
LC052201.1	1647816	Vairimorpha sp. OSL-2012-9	
LC052200.1	1647815	Vairimorpha sp. OSL-2012-8	
LC052199.1	1647814	Pleistophora sp. OSL-2012-7	
LC052198.1	1647813	Pleistophora sp. OSL-2012-6	
LC052197.1	1647812	Nosema sp. OSL-2012-5	
LC052196.1	1647811	Vairimorpha sp. OSL-2012-4	
LC052195.1	1647810	Vairimorpha sp. OSL-2012-3	
LC052194.1	1647809	Vairimorpha sp. OSL-2012-2	
LC052193.1	1647808	Vairimorpha sp. OSL-2012-1	
KM977990.1	1628256	Glugea gasterostei	
KP966297.1	1706305	Microsporidium sp. PT11	
KR871374.1	698211	Microsporidium sp. BPAR3	
HM566196.1	33697	Nosema pyrausta	
HQ396520.1	1028728	Neoperezia semenovaiae	
HQ396519.1	1028727	Neoperezia chironomi	
GU130407.1	856671	Crispospora chironomi	
GQ337010.1	662766	Nosema sp. GKK-2009	
GQ337009.1	662766	Nosema sp. GKK-2009	
LC033883.1	1638633	Nosema sp. FCG-1468	
LC033882.1	1638632	Nosema sp. FCG-1467	
LC033881.1	1638631	Nosema sp. FCG-1466	
LC033880.1	1638630	Nosema sp. FCG-1465	
